source;document_type;type_C_J;AREA;OUR-EVALUATION;nome-file2;TITLE;PUNTO;SOVRAPPOSIZIONI;NEW MODEL;MBSE;IOT SPECFIC;ALL;ALL5;DEPLOYMENT;ALL6;ORCHESTRATION;High Level;issues;ALL2;ALL22;Performance;Monitoring;Logginh;ALL3;ALL32;TESTING;ALL7;SECURITY;DEVSECOPS;ADDITIONAL;MATURITY MODEL;PRIVACY;ALL4;ALL8;SYSTEM;Citazioni distinte;Citazioni considerate su più aree;Quality Score;CLAUDE;Pag.Num;DESIGN;VALIDITY;REPLICABILITY;THREATS;MATURITY;POC;authors;year;doi;URL;abstract;keywords;journal;booktitle;publisher;thematic_area;iot_context;devops_practices;tools_frameworks;screening_reason;SCOPUS;IEEE;WOS;ACM;DISTINTI;
;;;3 - System-Wide Orchestration of Software and Hardware;;212;Performance Evaluation of Intent-Based Networking Scenarios: A GitOps and Nephio Approach;1,98;2;;;;0;0;3;1;;;;0;0;1;;;1;1;;0;;;;;;0;0;;4;8;3,96;-;7;GOOD;GOOD;SUFFICIENT;SUFFICIENT;YES;NO;"Ghosh S.; Mavromatis I.; Antonakoglou K.; Katsaros K.";2025;10.1109/CSCN67557.2025.11230760;https://www.scopus.com/pages/publications/105027121360?origin=resultslist;;;;;;3 - System-Wide Orchestration of Software and Hardware;intent-based networking (network infrastructure, IoT-adjacent);GitOps;Nephio;;3;4;0;0;4;
;;;1 - Novel Models for IoT;;213;Rapid Prototyping & Development Life Cycle for Smart Applications of Internet of Entities;1,98;2;;;1;1;1;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;13;26;3,96;-;10;GOOD;GOOD;SUFFICIENT;SUFFICIENT;NO;YES;;2023;10.1109/ICECCS59891.2023.00026;https://www.scopus.com/pages/publications/85179096237?origin=resultslist;Proceedings of the IEEE International Conference on Engineering of Complex Computer Systems, ICECCS;;;;;1 - Novel Models for IoT;generic smart applications (IoT/IoE, WoT, digital twins, multiple pilot domains);Agile-based rapid-prototyping lifecycle (DevOps-adjacent, low-code);Snap4City platform;A range of new kind of applications are growing for the integration of different technologies and needs such as IoT/IoE (Internet of Things/Everything), WoT (web of things), Digital twins and smart data models, data spaces. These applications demand less attention to the storage modeling since the adopted big data stores are less structured. Therefore, the connection from data storage to visual representation can be more automated. All these aspects open the path for rapid prototyping. In this paper a fast-prototyping development lifecycle for that category of smart applications is proposed. The proposed solution works on heterogeneous data types, push and pull, wide interoperability, covering all aspects from data ingestion to front-end. It can be regarded as a specific declination of AGILE development paradigm in which several activities have been strongly shortened by exploiting a number of modelling facilities of the development environment and technologies. The proposed development lifecycle was defined and tuned for the Snap4City platform, which provides an integrated development environment for rapid prototyping of smart application based on low coding, including visual programming, and a number of visual tools for creating the applications. The solution has been validated in the context of multiple interconnected scenarios of several large-scale projects and pilots such as Herit-Data, Panacea, Resolute, Replicate, TRAFAIR, etc. © 2023 IEEE.;13;9;0;0;13;
;;;6 - Security, Privacy and Risk Assessment;;214;"DEVSECOPS PIPELINE FOR PROVIDING SECURITY OF IOT CLIENT INTERFACES; [DEVSECOPS-ПАЙПЛАЙН ДЛЯ ЗАБЕЗПЕЧЕННЯ БЕЗПЕКИ КЛІЄНТСЬКИХ ІНТЕРФЕЙСІВ СИСТЕМ IOT]";1,65;1;;;;0;0;;0;;;;0;0;;;;0;0;;0;1;;;;;1;1;;0;0;1,65;-;12;GOOD;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;NO;;2026;10.32620/reks.2026.2.06;https://www.scopus.com/pages/publications/105047059433?origin=resultslist;Radioelectronic and Computer Systems;;;;;6 - Security, Privacy and Risk Assessment;IoT client interfaces (JavaScript front-end);"DevSecOps pipeline; Shift-Left SAST";"Gulp.js; ESLint";"This article examines the processes for ensuring the information security of client interfaces (Front-end) in Internet of Things (IoT) systems. This study aims to develop and implement an automated DevSecOps pipeline integrated into the Gulp build environment to detect and block code vulnerabilities at the earliest stages of development (the Shift Left concept). The tasks are as follows: 1) analyze technological opportunities and challenges of implementing DevSecOps for IoT web interfaces; 2) analyze possible threats and vulnerabilities inherent in client-side code; 3) analyze existing approaches to integrating SAST tools into automated workflows; 4) analyze options for using standard automation tools (such as Gulp) to solve security tasks; 5) propose a DevSecOps pipeline architecture for the security of client interfaces; 6) propose a sequence of critical components and experimentally verify the effectiveness of the proposed solution. Based on the set tasks, the following results were obtained. An analysis of security problems in modern JavaScript-based IoT interfaces was conducted, and the need for automated code control was substantiated. An architecture for a DevSecOps pipeline is proposed using Gulp.js as an automation tool and a configured ESLint as a SAST scanner. A Gulp plugin (""wrapper"") has been developed and implemented, providing continuous code monitoring during development. The system successfully identifies dangerous patterns (e.g., the use of eval functions or vulnerable setTimeout constructions) and blocks such code from entering the final release (Artifact). The proposed approach does not create significant overhead on the development process but guarantees compliance with security policies. Conclusions. The main contribution and scientific novelty of the results lie in creating an adaptive, easily integrated protection mechanism for the IoT ecosystem by integrating Static Application Security Testing (SAST) tools directly into the Gulp task runner architecture. Applying DevSecOps practices at the build level minimizes human-factor risks and increases overall trust in smart device management systems. The proposed solution is scalable and can serve as a foundational element of a cybersecurity strategy for Internet of Things projects. Creative Commons Attribution NonCommercial 4.0 International";0;0;0;0;0;
;;;2 - CI/CD for Development, Integration, and Deployment;;215;A Proposal of Secure and Automated Over-the-Air Firmware Update Mechanism for IoT Devices Using Continuous Integration and Continuous Delivery;1,98;1;;;;0;0;;0;;;;0;0;;;;0;0;;0;1;;;;;1;1;;2;2;1,98;-;27;GOOD;GOOD;SUFFICIENT;SUFFICIENT;NO;YES;;2026;10.3390/s26051535;https://www.scopus.com/pages/publications/105032644084?origin=resultslist;Sensors;;;;;2 - CI/CD for Development, Integration, and Deployment;IoT devices (firmware updates, generic);"Continuous Integration; Continuous Delivery; OTA update automation";SEMAR IoT application server;The Internet of Things (IoT) technology has grown rapidly over the past decade, resulting in deployments of thousands of IoT devices around the world. Then, managing firmware updates for these numerous devices poses significant challenges. Firmware updates face issues such as version rollback, modified firmware files, and potential man-in-the-middle (MITM) attacks, highlighting the need for a secure over-the-air (OTA) firmware update mechanism. In this paper, we propose an automated OTA firmware update mechanism, integrated with continuous integration (CI) and continuous delivery (CD) to ensure trusted sources for firmware origins. It offers security, error handling during firmware updates, and monitoring of the update process. For evaluations, we implemented the proposal with the SEMAR IoT application server that has been implemented in our previous studies. Then, we verified the integrity and authentication, measured the performance and resource utilization, and performed benchmarking tests to assess the efficiency. The results demonstrate that the proposal is sufficiently reliable and efficient. © 2026 by the authors.;2;0;1;0;2;
;;;1 - Novel Models for IoT;;216;A self organizing cyber physical system for sustainable agriculture;2,66;2;;;1;1;1;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;4;8;5,32;-;23;HIGH;HIGH;SUFFICIENT;SUFFICIENT;YES;YES;;2025;10.1007/s43926-025-00205-6;https://www.scopus.com/pages/publications/105015069810?origin=resultslist;Discover Internet of Things;;;;;1 - Novel Models for IoT;sustainable/precision agriculture (livestock monitoring, AGRARIAN platform);"continuous development; lightweight services orchestration (DevOps-adjacent)";"5G; WiFi; satellite comms (AGRARIAN platform)";The transformation of food production through digital tools and technologies requires not only advanced devices and processing capabilities, but also a holistic agricultural framework that unifies multiple types of stakeholders across the agri-food chain. This paper introduces the AGRARIAN platform, a stakeholder-centric, self-organizing Cyber-Physical System designed to answer the modern and future demands of sustainable agriculture, unifying farmers, developers and policy makers, all in one dynamic and scalable ecosystem. Integrating hybrid communications, lightweight services orchestration, continuous development and cross-farm decision support, the AGRARIAN platform offers a complete solution for the next generation of farm management. For the platform validation, field trials were performed for the use case of livestock monitoring in a remote area, using commercial communication links (5 G, WiFi and satellite) for real-world system evaluation. The measurements and the results analysis confirmed the capacity of the AGRARIAN platform to support the necessary functions and services, opening the way towards modern and sustainable farming. © The Author(s) 2025.;4;0;0;0;4;
;;;;;;121;279,45;;;;;;31;;67;;;;;26;;;;;27;;14;;;;;;;20;TOTALE;990;1696;441,3;;;;;;;;;;;;https://www.scopus.com/pages/publications/105015069810?origin=resultslist;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Citazioni totali tenendo conto della presenza su più aree;1688;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quality Score totale;440,640;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MODEL;DEPLOYMENT;ORCHESTRATION;PERFO;TEST;SECURITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;380;543;191;308;92;170;;1684;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;67;26;27;15;20;;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Citazioni medie;12,26;8,10;7,35;11,41;6,13;8,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23%;32%;11%;18%;5%;10%;;100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mediano Citazioni;6,00;5,00;4,00;5,00;5,00;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MODEL;DEPLOYMENT;ORCHESTRATION;PERFO;TEST;SECURITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77,67;161,75;62,73;62,96;31,48;44,05;;440,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;67;26;27;15;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quality Score;18%;37%;14%;14%;7%;10%;;100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
